,0
bathrooms,987668.1072860275
airconditioning,864958.3113174704
hotwaterheating,855447.1453970436
prefarea,651543.7998630104
stories,450848.0028590393
mainroad,421272.58872560016
basement,350106.90413615777
guestroom,300525.8596361022
parking,277107.1013421612
furnished,152526.3353790452
bedrooms,114787.56018467923
semi-furnished,106181.7153990771
area,244.1393862717552
unfurnished,-258708.05077812192
